date,recession,gdp_change,median_house,gold_price,dow_open,fed_rate,InvYield_10yr_5yr,unemp_rate,earnings_chg,cpi,inflation,housing_starts
11/1/90,1,0.6,118900,381.866,2452.5,8.06,0.42,6.2,-154,133.8,0.22,1145
12/1/90,1,0.6,127000,378.161,2442.3,7.61,0.34,6.3,-46,133.8,0,969
1/1/91,1,-1,117900,384.591,2559.7,5.53,0.38,6.4,-111,134.6,0.6,798
2/1/91,1,-1,119900,363.748,2633.7,6.3,0.46,6.6,-321,134.8,0.15,965
3/1/91,1,-1,122500,363.39,2736.4,6.35,0.34,6.8,-159,135,0.15,921
4/1/91,0,-0.5,121000,358.055,2882.2,6.48,0.33,6.7,-209,135.2,0.15,1001
5/1/91,0,-0.5,116000,357.117,2913.9,5.9,0.38,6.9,-116,135.6,0.3,996
6/1/91,0,-0.5,119000,366.36,2887.9,5.92,0.34,6.9,86,136,0.29,1036
7/1/91,0,-0.1,120000,368.013,3027.5,6.38,0.33,6.8,-45,136.2,0.15,1063
8/1/91,0,-0.1,120800,356.721,2911.7,5.86,0.42,6.9,21,136.6,0.29,1049
