date,median_house,gold_price,dow_open,gdp,fed_rate,13_wk,5_yr,10_yr,30_yr,unemployment,gas_price,earnings_chg,cpi,inflation,cars_sold,housing_starts,recession
Jan-90,125000.00,410.118,2706.30,2.80,7.97,7.58,7.87,7.94,8.00,5.40,1.09,361.00,127.4,1.03,16.31,1551.00,N
Feb-90,126900.00,416.543,2753.20,2.80,8.25,7.76,8.35,8.42,8.44,5.30,1.09,238.00,128,0.47,14.36,1437.00,N
Mar-90,119400.00,393.661,2590.50,2.80,8.30,7.81,8.53,8.59,8.61,5.20,1.08,209.00,128.7,0.55,14.49,1289.00,N
Apr-90,130000.00,374.929,2627.30,2.40,8.30,7.78,8.65,8.65,8.63,5.40,1.10,44.00,128.9,0.16,14.28,1248.00,N
May-90,125000.00,368.855,2707.20,2.40,8.11,7.92,9.08,9.08,9.04,5.40,1.11,151.00,129.2,0.23,14.02,1212.00,N
Jun-90,125000.00,352.657,2656.80,2.40,8.28,7.68,8.38,8.44,8.43,5.20,1.14,18.00,129.9,0.54,14.15,1177.00,N
Jul-90,118700.00,361.82,2876.70,1.70,8.32,7.74,8.35,8.43,8.41,5.50,1.14,-33.00,130.4,0.38,14.08,1171.00,Y
Aug-90,118400.00,394.861,2880.70,1.70,8.07,7.42,8.06,8.29,8.36,5.70,1.25,-207.00,131.6,0.92,13.86,1115.00,Y
Sep-90,113000.00,389.56,2905.20,1.70,8.06,7.39,8.53,8.90,9.03,5.90,1.35,-97.00,132.7,0.84,14.30,1110.00,Y
Oct-90,120000.00,381.333,2614.40,0.60,8.25,7.13,8.38,8.71,8.84,5.90,1.43,-153.00,133.5,0.60,13.75,1014.00,Y
Nov-90,118900.00,381.866,2452.50,0.60,8.06,7.05,8.15,8.57,8.70,6.20,1.43,-154.00,133.8,0.22,13.13,1145.00,Y
Dec-90,127000.00,378.161,2442.30,0.60,7.61,7.05,7.88,8.22,8.36,6.30,1.41,-46.00,133.8,0.00,12.96,969.00,Y
Jan-91,117900.00,384.591,2559.70,-1.00,5.53,6.46,7.59,7.97,8.14,6.40,1.30,-111.00,134.6,0.60,11.83,798.00,Y
Feb-91,119900.00,363.748,2633.70,-1.00,6.30,6.00,7.45,7.91,8.09,6.60,1.20,-321.00,134.8,0.15,12.41,965.00,Y
Mar-91,122500.00,363.39,2736.40,-1.00,6.35,6.09,7.78,8.12,8.28,6.80,1.14,-159.00,135,0.15,12.85,921.00,Y
Apr-91,121000.00,358.055,2882.20,-0.50,6.48,5.76,7.74,8.07,8.25,6.70,1.16,-209.00,135.2,0.15,12.04,1001.00,N
May-91,116000.00,357.117,2913.90,-0.50,5.90,5.54,7.63,8.01,8.18,6.90,1.21,-116.00,135.6,0.30,12.49,996.00,N
Jun-91,119000.00,366.36,2887.90,-0.50,5.92,5.60,7.80,8.14,8.34,6.90,1.21,86.00,136,0.29,12.72,1036.00,N
Jul-91,120000.00,368.013,3027.50,-0.10,6.38,5.58,7.93,8.26,8.44,6.80,1.19,-45.00,136.2,0.15,12.97,1063.00,N
