Date,Open,High,Low,Close,Volume
11/30/91,3069.1,3091.9,2861.1,2894.7,838915037
12/31/91,2894.7,3204.6,2832.3,3168.8,936004513
1/31/92,3168.8,3313.5,3119.9,3223.4,1183093985
2/29/92,3223.4,3307.5,3193.4,3267.7,957268420
3/31/92,3267.7,3318.4,3176.2,3235.5,912972181
4/30/92,3235.5,3388,3141.8,3359.1,970463910
5/31/92,3359.1,3434,3316.6,3396.9,817901505
6/30/92,3396.9,3435.3,3242.3,3318.5,949418798
7/31/92,3318.5,3414.9,3255.4,3393.8,958664661
8/31/92,3393.8,3413.2,3200.9,3257.4,821668420
9/30/92,3257.4,3391.4,3226.6,3271.7,901472932
10/31/92,3271.7,3291.4,3087.4,3226.3,1008396995
11/30/92,3226.3,3326.5,3176.8,3305.2,932458645
12/31/92,3305.2,3364.9,3229.8,3301.1,1089309021
1/31/93,3301.1,3338.1,3219.3,3310,1184830826
2/28/93,3310,3472.9,3262.5,3370.8,1208363910
3/31/93,3370.8,3497.3,3334.1,3435.1,1277912032
4/30/93,3435.1,3499.4,3338.4,3427.6,1304059400
5/31/93,3427.6,3582.2,3402.4,3527.4,1149742104
6/30/93,3527.4,3577.3,3445.8,3516.1,1246987218
7/31/93,3516.1,3604.9,3443.3,3539.5,1193557897
8/31/93,3539.5,3681.7,3523.5,3651.3,1237134587
9/30/93,3651.3,3665.5,3501.5,3555.1,1247893983
10/31/93,3555.1,3713.6,3541.7,3680.6,1340090977
11/30/93,3680.6,3749.9,3585.9,3684,1327946615
12/31/93,3684,3818.9,3673.3,3754.1,1306382707
1/31/94,3754.1,4002.8,3715.2,3978.4,1495502260
2/28/94,3978.4,3998.1,3811.8,3832,1320004511
3/31/94,3832,3911.8,3544.1,3636,1635243609
4/30/94,3633.1,3733.2,3520.8,3681.7,1293390225
5/31/94,3681.7,3788.8,3609.7,3758.4,1280643608
6/30/94,3758.4,3839.9,3603.9,3625,1319127068
7/31/94,3625,3782.6,3611,3764.5,1121517295
8/31/94,3764.5,3954.5,3722.4,3913.4,1443142105
9/30/94,3913.4,3972.7,3804.5,3843.2,1388774437
10/31/94,3843.2,3958.3,3736.2,3908.1,1428588721
11/30/94,3908.1,3919.9,3612.1,3739.2,1411075940
12/31/94,3739.2,3882.2,3639,3834.4,1432204511
1/31/95,3834.4,3955.6,3794.4,3843.9,1544659397
2/28/95,3843.9,4034.6,3809.2,4011.1,1428622557
3/31/95,4011.1,4213.7,3935.3,4157.7,1756772932
4/30/95,4157.7,4348.9,4129.7,4321.3,1420066915
5/31/95,4321.3,4480.7,4278.7,4465.1,1703727068
6/30/95,4465.1,4614.2,4394.6,4556.1,1703864662
7/31/95,4556.1,4768,4530.3,4708.5,1647354139
8/31/95,4708.5,4772.6,4552.8,4610.6,1609691728
9/30/95,4610.6,4839.5,4594.7,4789.1,1590651884
10/31/95,4789.1,4845.1,4638.4,4755.5,1812879691
11/30/95,4755.5,5143.1,4719.7,5074.5,1707631579
12/31/95,5074.5,5266.7,5016.7,5117.1,1629985712
1/31/96,5117.1,5433.2,5000.1,5395.3,2072492469
2/29/96,5395.3,5693.4,5319.4,5485.6,1976621064
3/31/96,5485.6,5755.9,5395.3,5587.1,2026511272
4/30/96,5587.1,5737.1,5382.7,5569.1,2002256379
5/31/96,5569.1,5833,5327.7,5643.2,2012287210
6/30/96,5643.2,5770.6,5559.7,5654.6,1788428570
7/31/96,5654.6,5769.9,5170.1,5528.9,1853063892
8/31/96,5528.9,5762,5507.8,5616.2,1664736089
9/30/96,5616.2,5952.1,5550.4,5882.2,1820246604
10/31/96,5882.2,6162.8,5833.7,6029.4,2190076685
11/30/96,6029.4,6606.3,5975.3,6521.7,2009280448
12/31/96,6521.7,6624,6206.8,6448.3,2050188733
1/31/97,6448.3,6953.6,6319,6813.1,2624190200
2/28/97,6813.1,7112.9,6683.4,6877.7,2192133834
3/31/97,6877.7,7158.3,6532.5,6583.5,2262543603
4/30/97,6583.5,7081.2,6315.8,7009,2359768426
5/31/97,7009,7430.2,6891.4,7331,2279697780
6/30/97,7331,7868.4,7214.3,7672.8,2449161691
7/31/97,7672.8,8329,7613.5,8222.6,2697320291
8/31/97,8222.6,8340.1,7580.9,7622.4,2392353348
9/30/97,7651,8078.4,7556.2,7945.3,2567593946
10/31/97,7945.3,8218.3,6936.5,7442.1,3161787956
11/30/97,7443.1,7934.5,7334.8,7823.1,2294801508
12/31/97,7823.6,8209.6,7563.2,7908.3,2697491719
1/31/98,7908.3,8072.9,7391.6,7906.5,2872292482
2/28/98,7987.5,8616.7,7987.5,8545.7,2629297010
3/31/98,8528.8,8997.1,8377.3,8799.8,3094644343
4/30/98,8818.5,9287.3,8715.6,9063.4,3080314297
5/31/98,9106.5,9312,8761,8900,2588828589
6/30/98,8907.9,9155,8524.6,8952,3056835329
7/31/98,9011.6,9412.6,8786.5,8883.3,3201834561
8/31/98,8868.1,8948.2,7517.7,7539.1,3399597715
9/30/98,7583.1,8253.8,7379.7,7842.6,3770093247
10/31/98,7749.4,8718.3,7399.8,8592.1,4060522572
11/30/98,8645.7,9458,8573.6,9116.6,3034123292
12/31/98,9039.6,9390.8,8610.6,9181.4,3424387223
1/31/99,9212.8,9759.4,8994.3,9358.8,3657180465
2/28/99,9405.4,9662.8,9025.4,9306.6,3283276694
3/31/99,9315.3,10158.6,9163.4,9786.2,4060714261
4/30/99,9825.3,11072.3,9707.9,10789,4178165414
5/31/99,10788.8,11244.4,10373,10559.7,3582013511
6/30/99,10549.1,11120.2,10334.4,10970.8,3626880454
7/31/99,10972.4,11321.6,10595,10655.2,3458555655
8/31/99,10654.8,11428.9,10487.3,10829.3,3568093981
9/30/99,10828.4,11218.4,10055.2,10337,3707977444
10/31/99,10335.7,10883.1,9884.2,10729.9,4247819610
11/30/99,10730.8,11112.8,10536.3,10877.8,4109329491
12/31/99,10876.5,11568.8,10859.7,11497.1,4018609185
1/31/00,11501.8,11750.3,10701.6,10940.5,4821629041
2/29/00,10937.7,11118.9,9836.06,10128.3,4574187369
3/31/00,10128.1,11234.7,9731.81,10921.9,5970887097
4/30/00,10863.3,11425.5,10201.5,10733.9,5239047252
5/31/00,10749.4,10971.2,10258.8,10522.3,4570319640
6/30/00,10532.3,10863,10335.5,10447.9,4364910329
7/31/00,10450.4,10874.6,10393.1,10522,3710791776
8/31/00,10523.8,11319.1,10518.3,11215.1,3757717223
9/30/00,11219.5,11401.2,10567.3,10650.9,4654259909
10/31/00,10659.1,10995.4,9651.68,10971.1,6252273325
11/30/00,10966.2,11006.5,10292.4,10414.5,4808681449
12/31/00,10416.8,10917.7,10299.2,10786.8,5150405641
1/31/01,10790.9,11028,10468,10887.4,5626039747
2/28/01,10884.8,11035.1,10294,10495.3,4081942667
3/31/01,10493.2,10859.5,9106.54,9878.78,5797302326
4/30/01,9877.16,10906.4,9375.72,10735,5167709050
5/31/01,10734,11350,10673.2,10911.9,4507964740
6/30/01,10913.6,11196.5,10394.7,10502.4,4608307800
7/31/01,10505,10679.1,10120.9,10522.8,4350501786
8/31/01,10527.4,10609.7,9869.14,9949.75,3865174075
9/30/01,9946.98,10182.4,8062.34,8847.56,5207049382
10/31/01,8845.97,9598.17,8732.14,9075.14,5468723056
11/30/01,9087.45,9992.79,9014.46,9851.56,4378427993
12/31/01,9848.93,10184.5,9703.9,10021.5,4058000507
1/31/02,10021.7,10300.2,9529.46,9920,4715215495
2/28/02,9923.04,10255.2,9580.32,10106.1,4394349355
3/31/02,10111,10673.1,10111,10403.9,4373945708
4/30/02,10402.1,10402.1,9811.57,9946.22,5096757124
5/31/02,9944.9,10353.4,9802.23,9925.25,4790794094
6/30/02,9923.94,9986.49,8926.57,9243.26,5824154587
7/31/02,9239.25,9410.38,7532.66,8736.59,7955760203
8/31/02,8732.58,9077.01,8030.82,8663.5,5734849071
9/30/02,8659.27,8726.9,7460.78,7591.93,5697561541
10/31/02,7593.04,8558.63,7197.49,8397.03,7781870317
11/30/02,8395.64,8950.33,8298.68,8896.09,5538223518
12/31/02,8902.95,9043.37,8242.91,8341.63,4724496338
1/31/03,8342.38,8869.29,7917.16,8053.81,5655588165
2/28/03,8053.74,8152.53,7628.99,7891.08,4427989377
3/31/03,7890.24,8522.18,7416.64,7992.13,5397348162
4/30/03,7992.83,8559.77,7979.69,8480.09,5198309174
5/31/03,8478.48,8868.33,8340.23,8850.26,5143361373
6/30/03,8851.45,9352.77,8851.45,8985.44,5352016335
7/31/03,8983.66,9361.4,8871.2,9233.8,5244105085
8/31/03,9232.68,9499.97,8997.11,9415.82,4181936494
9/30/03,9416.67,9686.08,9230.47,9275.06,4884004381
10/31/03,9276.8,9850.01,9276.8,9801.12,5274191220
11/30/03,9802.46,9903.57,9585.5,9782.46,4292421359
12/31/03,9785.35,10462.4,9785.35,10453.9,4954522225
1/31/04,10452.7,10705.2,10367.4,10488.1,4996205403
2/29/04,10487.8,10753.6,10434.7,10583.9,4436584843
3/31/04,10582.2,10695.5,10007.5,10357.7,6096557327
4/30/04,10357.5,10570.8,10219.2,10225.6,5484370200
5/31/04,10227.3,10386.3,9852.19,10188.5,4764277640
6/30/04,10187.2,10487.5,10134.9,10435.5,4924254318
7/31/04,10434,10448.1,9913.92,10139.7,5483505408
8/31/04,10138.5,10211.2,9783.91,10173.9,4516381499
9/30/04,10170.1,10363.4,9977.92,10080.3,5177046388
10/31/04,10082,10270.4,9708.4,10027.5,5847212966
11/30/04,10028.7,10602.8,10010.2,10428,6250225546
12/31/04,10425.8,10868.1,10418.6,10783,6515191653
1/31/05,10783.8,10867.4,10368.6,10489.9,6031059007
2/28/05,10489.7,10853.4,10489.6,10766.2,5740829904
3/31/05,10769,10984.5,10396.2,10503.8,6509018561
4/30/05,10504.6,10568.9,10000.5,10192.5,6566426202
5/31/05,10192,10560.8,10075.5,10467.5,5405359615
6/30/05,10462.9,10656.3,10253.5,10275,5590890718
7/31/05,10273.6,10717.7,10175.4,10640.9,5453171925
8/31/05,10641.8,10719.4,10349.4,10481.6,5763779368
9/30/05,10481.4,10701.8,10351,10568.7,6008000387
10/31/05,10569.5,10608.6,10156.5,10440.1,6834894029
11/30/05,10437.5,10959.8,10388.8,10805.9,6394007999
12/31/05,10806,10940.3,10709.4,10717.5,5972404221
1/31/06,10718.3,11047.8,10661.2,10864.9,6656130280
2/28/06,10862.1,11159.2,10737.7,10993.4,5759103824
3/31/06,10993.2,11335,10922.7,11109.3,6681439280
4/30/06,11113,11417.7,11039.1,11367.1,5584036800
5/31/06,11367.8,11670.2,11030.5,11168.3,7297653200
6/30/06,11169,11285.8,10698.8,11150.2,6915326416
7/31/06,11149.3,11257.1,10683.3,11185.7,5548663680
8/31/06,11184.8,11407.1,11042.6,11381.2,4546816896
9/30/06,11382.8,11742,11323.8,11679.1,4494894352
10/31/06,11679,12167,11653,12080.7,5543222544
11/30/06,12080.2,12361,11965.3,12221.9,4722838008
12/31/06,12221,12529.9,12090,12463.2,4336607552
1/31/07,12459.5,12657,12337.4,12621.7,4992601600
2/28/07,12617.2,12795.9,12086,12268.6,4347410528
3/31/07,12265.6,12511,11939.6,12354.3,5632851904
4/30/07,12354.5,13162,12324.3,13062.9,4819809060
5/31/07,13062.8,13673.1,13041.3,13627.6,4992619767
6/30/07,13628.7,13692,13251.5,13408.6,5224570597
7/31/07,13409.6,14022,13199.8,13212,5512064484
8/31/07,13211.1,13695.8,12517.9,13357.7,6199185358
9/30/07,13358.4,13924.8,13021.9,13895.6,4328676932
10/31/07,13895.7,14198.1,13407.5,13930,5010929565
11/30/07,13924.2,13924.2,12724.1,13371.7,5980232601
12/31/07,13368.2,13780.1,13092,13264.8,4310312383
1/31/08,13261.8,13279.5,11634.8,12650.4,7459824055
2/29/08,12638.2,12767.7,12069.5,12266.4,5720329027
3/31/08,12264.4,12622.1,11731.6,12262.9,6229017541
4/30/08,12266.6,13010,12266.5,12820.1,5050809902
5/31/08,12818.3,13136.7,12442.6,12638.3,4530791067
6/30/08,12637.7,12638.1,11287.5,11350,5309933092
7/31/08,11344.6,11698.2,10827.7,11378,5523442336
8/31/08,11379.9,11867.1,11221.5,11543.5,3578224301
9/30/08,11545.6,11790.2,10365.5,10850.7,6302320358
10/31/08,10847.4,10882.5,7882.51,9325.01,8361911096
11/30/08,9326.04,9651.01,7449.38,8829.04,6262885066
12/31/08,8826.89,9026.41,8141.04,8776.39,5701891354
1/31/09,8772.25,9088.06,7909.03,8000.86,6261961262
