Date,Open,High,Low,Close,Adj Close,Volume
1981-01-01,14.650000,15.790000,13.520000,14.590000,14.590000,0
1981-02-01,14.900000,15.540000,14.090000,14.220000,14.220000,0
1981-03-01,14.520000,14.520000,12.360000,12.460000,12.460000,0
1981-04-01,12.370000,14.860000,12.370000,14.860000,14.860000,0
1981-05-01,14.670000,17.010000,14.670000,15.100000,15.100000,0
1981-06-01,15.500000,15.830000,13.720000,14.280000,14.280000,0
1981-07-01,14.650000,15.720000,14.350000,14.870000,14.870000,0
1981-08-01,15.500000,15.850000,14.850000,15.520000,15.520000,0
1981-09-01,15.590000,15.660000,14.120000,14.340000,14.340000,0
1981-10-01,14.570000,14.650000,12.750000,12.750000,12.750000,0
1981-11-01,12.690000,12.690000,10.070000,10.370000,10.370000,0
1981-12-01,10.490000,11.700000,9.940000,11.080000,11.080000,0
1982-01-01,11.390000,13.320000,11.390000,12.520000,12.520000,0
1982-02-01,13.680000,14.570000,12.000000,12.440000,12.440000,0
1982-03-01,12.270000,13.430000,12.120000,13.260000,13.260000,0
1982-04-01,13.240000,13.260000,12.190000,12.340000,12.340000,0
1982-05-01,12.740000,12.740000,11.500000,11.500000,11.500000,0
1982-06-01,12.010000,13.190000,11.980000,12.760000,12.760000,0
1982-07-01,12.550000,12.620000,10.170000,10.170000,10.170000,0
1982-08-01,9.360000,10.310000,7.080000,8.420000,8.420000,0
1982-09-01,8.420000,8.420000,7.280000,7.620000,7.620000,0
1982-10-01,7.350000,8.140000,7.350000,7.900000,7.900000,0
1982-11-01,7.810000,8.430000,7.730000,8.280000,8.280000,0
1982-12-01,8.280000,8.280000,7.630000,7.920000,7.920000,0
1983-01-01,7.920000,8.100000,7.550000,8.100000,8.100000,0
1983-02-01,8.160000,8.290000,7.820000,7.930000,7.930000,0
1983-03-01,7.960000,8.650000,7.950000,8.640000,8.640000,0
1983-04-01,8.640000,8.640000,8.070000,8.080000,8.080000,0
1983-05-01,8.050000,8.630000,7.960000,8.630000,8.630000,0
1983-06-01,8.580000,9.040000,8.500000,8.790000,8.790000,0
1983-07-01,8.730000,9.220000,8.730000,9.220000,9.220000,0
1983-08-01,9.270000,9.560000,9.100000,9.260000,9.260000,0
1983-09-01,9.220000,9.270000,8.710000,8.710000,8.710000,0
1983-10-01,8.740000,8.810000,8.500000,8.510000,8.510000,0
1983-11-01,8.470000,8.880000,8.470000,8.880000,8.880000,0
1983-12-01,8.870000,9.170000,8.870000,8.970000,8.970000,0
1984-01-01,9.000000,9.000000,8.740000,8.890000,8.890000,0
1984-02-01,8.890000,9.260000,8.890000,9.140000,9.140000,0
1984-03-01,9.190000,9.810000,9.160000,9.720000,9.720000,0
1984-04-01,9.680000,9.790000,9.540000,9.720000,9.720000,0
1984-05-01,9.700000,10.110000,9.580000,9.750000,9.750000,0
1984-06-01,9.800000,10.070000,9.750000,9.920000,9.920000,0
1984-07-01,9.740000,10.400000,9.740000,10.400000,10.400000,0
1984-08-01,10.430000,10.670000,10.200000,10.630000,10.630000,0
1984-09-01,10.670000,10.730000,10.160000,10.220000,10.220000,0
1984-10-01,10.230000,10.250000,9.010000,9.010000,9.010000,0
1984-11-01,9.010000,9.010000,8.350000,8.440000,8.440000,0
1984-12-01,8.410000,8.490000,7.630000,7.850000,7.850000,0
1985-01-01,7.830000,8.050000,7.620000,8.050000,8.050000,0
1985-02-01,8.190000,8.500000,8.120000,8.500000,8.500000,0
1985-03-01,8.660000,8.800000,8.180000,8.180000,8.180000,0
1985-04-01,8.150000,8.220000,7.670000,7.850000,7.850000,0
1985-05-01,7.750000,7.820000,7.140000,7.140000,7.140000,0
1985-06-01,7.020000,7.230000,6.660000,6.830000,6.830000,0
1985-07-01,6.870000,7.280000,6.770000,7.280000,7.280000,0
1985-08-01,7.270000,7.310000,7.030000,7.140000,7.140000,0
1985-09-01,7.110000,7.260000,6.840000,7.040000,7.040000,0
1985-10-01,7.030000,7.250000,6.980000,7.190000,7.190000,0
1985-11-01,7.200000,7.350000,7.160000,7.160000,7.160000,0
1985-12-01,7.260000,7.260000,6.940000,7.050000,7.050000,0
1986-01-01,7.100000,7.240000,6.920000,6.970000,6.970000,0
1986-02-01,7.000000,7.210000,6.980000,7.020000,7.020000,0
1986-03-01,6.970000,6.970000,6.340000,6.340000,6.340000,0
1986-04-01,6.330000,6.340000,5.770000,6.100000,6.100000,0
1986-05-01,6.110000,6.300000,6.040000,6.300000,6.300000,0
1986-06-01,6.360000,6.520000,5.960000,5.960000,5.960000,0
1986-07-01,5.990000,6.000000,5.710000,5.790000,5.790000,0
1986-08-01,5.770000,5.770000,5.170000,5.170000,5.170000,0
1986-09-01,5.190000,5.260000,5.120000,5.200000,5.200000,0
1986-10-01,5.190000,5.310000,5.040000,5.200000,5.200000,0
1986-11-01,5.210000,5.420000,5.210000,5.390000,5.390000,0
1986-12-01,5.420000,5.690000,5.400000,5.670000,5.670000,0
1987-01-01,5.550000,5.600000,5.300000,5.600000,5.600000,0
1987-02-01,5.610000,5.860000,5.430000,5.450000,5.450000,0
1987-03-01,5.480000,5.690000,5.480000,5.610000,5.610000,0
1987-04-01,5.540000,6.020000,5.420000,5.530000,5.530000,0
1987-05-01,5.600000,5.950000,5.500000,5.680000,5.680000,0
1987-06-01,5.700000,5.840000,5.480000,5.730000,5.730000,0
1987-07-01,5.640000,6.070000,5.550000,6.070000,6.070000,0
1987-08-01,6.050000,6.310000,5.740000,6.250000,6.250000,0
1987-09-01,6.120000,6.690000,6.090000,6.610000,6.610000,0
1987-10-01,6.630000,7.190000,5.030000,5.270000,5.270000,0
1987-11-01,5.620000,5.910000,5.210000,5.210000,5.210000,0
1987-12-01,5.550000,5.940000,5.360000,5.680000,5.680000,0
1988-01-01,5.880000,5.960000,5.640000,5.640000,5.640000,0
1988-02-01,5.660000,5.750000,5.590000,5.620000,5.620000,0
1988-03-01,5.620000,5.830000,5.600000,5.710000,5.710000,0
1988-04-01,5.850000,6.050000,5.740000,5.980000,5.980000,0
1988-05-01,6.080000,6.440000,6.080000,6.430000,6.430000,0
1988-06-01,6.470000,6.600000,6.290000,6.560000,6.560000,0
1988-07-01,6.550000,7.000000,6.530000,6.950000,6.950000,0
1988-08-01,6.910000,7.330000,6.840000,7.300000,7.300000,0
1988-09-01,7.280000,7.340000,7.130000,7.250000,7.250000,0
1988-10-01,7.240000,7.510000,7.220000,7.360000,7.360000,0
1988-11-01,7.340000,8.030000,7.340000,7.830000,7.830000,0
1988-12-01,7.850000,8.260000,7.850000,8.100000,8.100000,0
1989-01-01,8.140000,8.390000,8.140000,8.390000,8.390000,0
1989-02-01,8.370000,8.710000,8.370000,8.710000,8.710000,0
1989-03-01,8.660000,9.100000,8.570000,8.900000,8.900000,0
1989-04-01,8.820000,8.840000,8.410000,8.410000,8.410000,0
1989-05-01,8.620000,8.620000,8.210000,8.610000,8.610000,0
1989-06-01,8.610000,8.610000,7.950000,7.990000,7.990000,0
1989-07-01,7.970000,8.120000,7.730000,7.800000,7.800000,0
1989-08-01,7.630000,8.060000,7.630000,7.890000,7.890000,0
1989-09-01,7.860000,7.910000,7.530000,7.910000,7.910000,0
1989-10-01,7.890000,7.890000,7.430000,7.770000,7.770000,0
1989-11-01,7.780000,7.870000,7.510000,7.590000,7.590000,0
1989-12-01,7.530000,7.760000,7.530000,7.550000,7.550000,0
1990-01-01,7.580000,7.780000,7.500000,7.740000,7.740000,0
1990-02-01,7.760000,7.820000,7.580000,7.770000,7.770000,0
1990-03-01,7.810000,7.990000,7.760000,7.800000,7.800000,0
1990-04-01,7.780000,7.820000,7.690000,7.790000,7.790000,0
1990-05-01,7.920000,7.920000,7.620000,7.750000,7.750000,0
1990-06-01,7.680000,7.800000,7.660000,7.740000,7.740000,0
1990-07-01,7.740000,7.800000,7.480000,7.490000,7.490000,0
1990-08-01,7.420000,7.590000,7.290000,7.390000,7.390000,0
1990-09-01,7.390000,7.430000,7.140000,7.140000,7.140000,0
1990-10-01,7.130000,7.250000,7.040000,7.110000,7.110000,0
1990-11-01,7.050000,7.100000,7.020000,7.020000,7.020000,0
1990-12-01,7.050000,7.050000,6.440000,6.440000,6.440000,0
1991-01-01,6.460000,6.530000,6.040000,6.190000,6.190000,0
1991-02-01,6.000000,6.040000,5.850000,6.040000,6.040000,0
1991-03-01,6.090000,6.090000,5.740000,5.740000,5.740000,0
1991-04-01,5.760000,5.770000,5.510000,5.510000,5.510000,0
1991-05-01,5.540000,5.540000,5.400000,5.530000,5.530000,0
1991-06-01,5.600000,5.620000,5.540000,5.540000,5.540000,0
1991-07-01,5.580000,5.610000,5.530000,5.530000,5.530000,0
1991-08-01,5.550000,5.550000,5.110000,5.330000,5.330000,0
1991-09-01,5.340000,5.340000,5.110000,5.110000,5.110000,0
1991-10-01,5.100000,5.100000,4.820000,4.820000,4.820000,0
1991-11-01,4.750000,4.760000,4.350000,4.350000,4.350000,0
1991-12-01,4.380000,4.380000,3.740000,3.880000,3.880000,0
1992-01-01,3.860000,3.860000,3.720000,3.840000,3.840000,0
1992-02-01,3.840000,3.960000,3.730000,3.930000,3.930000,0
1992-03-01,4.030000,4.080000,4.010000,4.050000,4.050000,0
1992-04-01,4.010000,4.020000,3.620000,3.700000,3.700000,0
1992-05-01,3.630000,3.740000,3.540000,3.700000,3.700000,0
1992-06-01,3.750000,3.750000,3.570000,3.570000,3.570000,0
1992-07-01,3.550000,3.550000,3.160000,3.180000,3.180000,0
1992-08-01,3.170000,3.170000,3.060000,3.160000,3.160000,0
1992-09-01,3.150000,3.150000,2.690000,2.690000,2.690000,0
1992-10-01,2.610000,3.020000,2.610000,2.960000,2.960000,0
1992-11-01,3.010000,3.270000,3.010000,3.270000,3.270000,0
1992-12-01,3.330000,3.340000,3.080000,3.080000,3.080000,0
1993-01-01,3.080000,3.120000,2.900000,2.900000,2.900000,0
1993-02-01,2.900000,2.960000,2.890000,2.950000,2.950000,0
1993-03-01,2.950000,3.000000,2.890000,2.890000,2.890000,0
1993-04-01,2.900000,2.920000,2.790000,2.910000,2.910000,0
1993-05-01,2.870000,3.070000,2.860000,3.060000,3.060000,0
1993-06-01,3.040000,3.130000,3.030000,3.030000,3.030000,0
1993-07-01,2.990000,3.100000,2.950000,3.030000,3.030000,0
1993-08-01,3.070000,3.080000,2.980000,3.010000,3.010000,0
1993-09-01,3.010000,3.010000,2.900000,2.920000,2.920000,0
1993-10-01,2.920000,3.090000,2.920000,3.030000,3.030000,0
1993-11-01,3.050000,3.150000,3.030000,3.140000,3.140000,0
1993-12-01,3.140000,3.140000,2.980000,3.000000,3.000000,0
1994-01-01,3.010000,3.090000,2.910000,2.970000,2.970000,0
1994-02-01,3.020000,3.440000,3.020000,3.360000,3.360000,0
1994-03-01,3.390000,3.630000,3.390000,3.470000,3.470000,0
1994-04-01,3.610000,3.890000,3.530000,3.860000,3.860000,0
1994-05-01,3.850000,4.300000,3.850000,4.170000,4.170000,0
1994-06-01,4.210000,4.210000,4.080000,4.140000,4.140000,0
1994-07-01,4.130000,4.510000,4.130000,4.270000,4.270000,0
1994-08-01,4.280000,4.650000,4.280000,4.560000,4.560000,0
1994-09-01,4.550000,4.820000,4.480000,4.670000,4.670000,0
1994-10-01,4.650000,5.080000,4.650000,5.020000,5.020000,0
1994-11-01,5.060000,5.590000,5.060000,5.550000,5.550000,0
1994-12-01,5.570000,5.830000,5.370000,5.530000,5.530000,0
1995-01-01,5.550000,5.840000,5.520000,5.840000,5.840000,0
1995-02-01,5.820000,5.890000,5.630000,5.750000,5.750000,0
1995-03-01,5.760000,5.820000,5.640000,5.700000,5.700000,0
1995-04-01,5.690000,5.740000,5.560000,5.690000,5.690000,0
1995-05-01,5.700000,5.730000,5.550000,5.630000,5.630000,0
1995-06-01,5.620000,5.620000,5.330000,5.430000,5.430000,0
1995-07-01,5.420000,5.530000,5.340000,5.420000,5.420000,0
